id,fecha,cantidad,tipotrans,cuentaorigen,cuentadestino,dateCreated,lastUpdated
932522,2019-07-17,75281.48789107289,A,Jr7rEu5DQcBBn7yNPpH2vxi9TuU4Aj9BREnv8iloCJJMiIq0aO8aHGVxrdx900D0ZKpi1PSl2SajzWvnE5cr41AxiPsz2vFswsWV8ftCvipB5ydfo,VeYEojraIYk0fr64kGAzitCD9stDkES4ihcuty7L0q4wOQ4YLg40hEEiqLiFdrfJQEah2vlY7V88ks8abAd0nsiFRB69SJfpqgZH81wMuN5moNBfqwrL4TSyapDRKau0pqyrc8c6IxJYb,2023-11-03 23:03:44.365180,2019-08-17 06:16:19.665524
979633,2023-01-23,359849.6894975883,TWDqgwsBpK,cTsEOB2HB8mFJtGA1JxGNCovPD8n068hWw410hWmiysDDjqig2Icn4cAXWunzK1DwHbW92gjPbJXXwp2OdaoREhRXUlLGbFbmHehNQ77ew1JXhMVIi1le6l4UKW7B4WLpIEIGOiqqw0knvcrncjnmGroBzW51tNsnniTbT5tBiHhOGpUfryZvVtzfHqiIeCSzs0WqvY7eHCpy0GYd0mDkkpA6lEmxeCm5vzv7t0EgM,qWuY1lrJUAVxcT09LL8reuIlO7wMykTWmKs4xg1PoKT3QrzO7C2v2JQXhk9q65D4NO22rUMqnXN2PvBBE1hpBBs,2021-01-08 10:22:04.605670,2021-08-05 20:45:57.686376
205884,2020-03-07,768080.5544642137,S4MDH,K7ZgQjYQGWV4NA3q3IfXln67RtjBi3sTPJgffJNREHhzU4kuQO6ymRsVWc8xB4pD4MO5xu4j422M42caZdBIbURenWgMi6hCWgdzmQOhWVKpoM3wFeAqeA8Gucni8CXwqQE7n8Bd4KN3KvreZSJscY7DDtYJQznWCkka5B9LWisJ6FFYq8k9h3H0APhttSuHb4HVQRKtQMKtM,suYnbR9xHFad8zShcr5lgid8ElpPI2pCtHI1nqkAlcXHH2sBVGbrZ7issZ68Z300ExgyvMw2YmdE4IlQzMWADg19DiVKUNDp7nqjBr97IiLC4cJ6WFojRXflsGl5X2MbVpDGMs3ZXXRwv6bIiMDURHHa5gsTYgW8YVGpIwKopuaEUlyZHN75hpo96aO3IsjB9WRibY30Z07POc7Qbn13kaeCkfLDg2FieWj8SL5uEeh,2021-02-04 20:38:50.850912,2021-10-12 17:17:35.070448
871098,2022-03-03,102504.41448231845,NFvHpj8PaB,Jjc3J8zayOtqtRNKZIUq4blnWf7rwbOAb6YMBxMso7mUYYfLTrh0oo6NRB0cKYWzwaNz06ph9ep55fIz1bjgwbkg20xNfnXcdvT6HSIKDfaegOp1qGGU2wxcCTJLNZIPBeSK18osAUMrE0WHzJNh2fIRKzY6uj3XjsZVfezCb9Sie1ev7wzPfLLhjXaQFCw7TOztsO0lsTYkRwr9,lcfNkRov1eVhz85mjGITCC4ul5nyrwdHkDFsd5mbEq9XIhG5e5DiBsgnYoouFBdlB6BoK0HnOvZ1STdPmaXhsEiongbDkKTEM4lRERhGf2DLGt5n0FG8t51Q3ZmfH73AiG0h,2020-10-13 10:05:52.758348,2022-03-21 09:29:50.217484
859039,2019-09-11,990777.4504613667,FFxh4jSmMb,quf8uorKte2nfX9WgsWDQSrxY3QdZb3uVVCwKfG4WzjyaCLtZGnAvwA0oaKevsy0oekdntGMd7s1jh1XvXIialkFMrz5xEwb1oxnWe6Ax0mYAyd,ugSU3RKPEGVAgS3obKCR3GRtFwgorc2SvweGEUKY8vpEhO7tEGrTzQ2Cm89IdV137BlHc67PYX51LQM9vXQcmgUQA6oaS8TjGYsf4VOyKjHvMJQgoftEB2BjLttEiiTIvy8Zj7XBSCDKl57d1c5w0VEt9BTsZN9Ggm,2020-11-18 03:19:01.699441,2021-07-22 14:39:29.481611
597936,2022-07-28,758799.0715524858,UcIz,wU6tA61eIwDjipSBSV26DAY48N0MjheAfRafCjeFowK5uQNYoyWlBkq50HC7jaJNq77hazjoc8ZRx82K2lKwMlS1q0ta6os5gRWKerEPjPqlCJ3nGujvI3deFlZsaXWoFsyjauvXYEkdI1JhlGRwRAHm2Gjb3i0OxJPBKlm6iKfl,CXWkqyrOvR4TpI2Gr1vr3IqRLs8ceOEYb3IzgBGZl0a1KyM79eVUYdtSkrD2NYxBDheghKOBuNuY62oLuaR9kxTS0jENkflkMJvEYulkkpbWFOcFUv6ETOGcvfwgyqxQkN2LM3orRpnKdSFOg4T0xzomdLJcwQg3M5aBmPVibhnEbDRxroJRjuThfyKTe3XIiBFsa7X,2020-06-19 02:34:23.791769,2023-06-28 09:07:16.323837
281487,2019-12-18,100464.57030570103,G8zU8Kf,kHwt8hRIChZWIQj22S41c00sOGFJXpEQOVxhLuWZiuZKmBY0PDEE3LlXyHbid4gxQUoqbQsaqkrn2OBfc8Elgv74m0pFHZ4yaLjge7R1fUARFyak4pnDFoLEa9vyDECf7vcWbiCs0vt48TfWS2TAGdBbluBnyxi12kvo1z46pnhtKcNqNh9gDHVGpz,zQue0aAFBlvMO3NyfANURMJtSVZG8M4YzHzlSf0ikffL6P06oQuF3eD7uP8OJAbkZv15yFuDWFzD6aMmPfu6XV7Radh38qvCcTCG8zR6CCGy80CNg9mD7VcnEnVankF10GKa3Vzv4EkvP20komNV5ck2BvzefUgjIMg8YPNrujELYpTJuqC99QwxIowDvJhG7Sd2FE2IlakBogxcoDikJRqr5bndFgcxS6F5KWyZP3M,2022-09-21 08:32:52.583950,2019-01-24 01:22:42.081183
771524,2022-03-09,723735.4925464832,h5QqQi,LrNAAk6jre0h0pRkOaL6VW5ONP3c5qyspzkcbY61Uxtey35lCCWLyuptuKVXjz3nrWTFSKdTiwz3UEBjm4O4uE6cHIXkGFcBHfbxsNWjFARz97wFT0uEAwuIvEC7Jxxt9q9l1w8nucf6DO01nP35Be5muf4lf5x5nvuzBSgZcMDPm4htgefc2EDYq6PybaUUpjYWHBEJCp,G1dmLQNSwHdJhwqsesLGyzHEVsCOTQ4ZTMFttspdLngj4fGpYE1eQwM2DYnKW,2021-11-16 16:04:49.069773,2020-06-11 14:56:41.592757
896164,2023-10-09,504026.2886840906,9URGCVu,CKFpWk9otkbT2DlzmDJdF4HTo,VqbHmx2qu,2022-09-08 15:36:59.542874,2023-02-07 18:50:48.052930
603560,2020-10-05,364430.82922247,QAUyI,JdxLPAbYIWFf5gH3RgEZciReckxwb6vL3vng1pnBnommCEI2JUcuW1irgboevcK7L8vjkSHP92I8bhSBwHz5dIH09DVrl2AzUbXUC7nQULJekUDlBD5LMwFqt2MLXAq62kt7P7JlTzbx3LaUKyDcyYmqa87JKVoJBMAikcyGeeKdmRT7W0IsD2zKQ0uYaHq82HzPhXQINTIkdahdVkLEdZx7ZotZjqKwnpivD9Ulz,cIA03qH9PxRWmnWHfnf6nIVdura2GG8HBUr6e3nJlGKqkK1YT6dF6q01fg75MLzzRqhTHwHw6kglVpU4i8uPaXD9YenkRV1H8xJzlIPf8zcDxJmKcrozGMMn4lDgRpauMt2igAKzhOcVarNpZ8IMGp6RrCxwN5Wd2LrsRV9uXEfohcBnAfxrhWkhZStulR4AF7weVIcw7ooo7E5mSQ3oCf,2023-04-13 01:22:32.426655,2021-01-30 12:56:27.974265
32427,2020-04-11,800392.87324623,Ax3Z4fRenD,TCz2fEt9NZaYGto5jtLcQUqMCqykb30GiegFTxeySUgJ9T7SfJqcB5LIhpfrLN56Dpi1gtHOukf8VmJocXsxQPlfpXS1c2xrEmEDTAJimSfEwWSvxhucJMEA8mHa5kA8u7qP4w03EXx42hHGbNke5yazlcHARGqEGWCQFLSQH5t1YwVBMvLzOBU9KcljQyzZH5qbey2N70PuknF4ks7P9d4Zr0aPYt3jhI4bCR,wg6KBDk1u2BYar0NJjgX9TxcWxOQ9ZXbMymY1VFSvn6r210JmO6ZX7ImeNDm1kfn9lGtySaZWdMLDuoepBnCrESesr9mr98cjz527R370wVUhS4TxlRyGNRl5XYUwgnrcms4V4kD8TNRNqpixoQJtX1WZMaMVg8Miryt0mVsib9k5DMDU,2019-11-30 09:11:12.554410,2018-12-27 16:52:31.618625
40016,2022-09-06,223208.02811936807,nE,C2ExqrQiAyEL5rUX6pNI1LueXyEqwVc4MOUa7seOgTeI9q0IQEmJlfHLrYBmKZv5zC2zTSiH15bb0xpQ2Ly1QdE1Wypnmv9HgBq8tnIMA1TZAb8326qz7gmq8W872MyF3HCnaxiYmolNBXT7Ydf7bikMQWcBcV7SNrmKjqoNg8HBct7TxxQtHOA8I4CCBNY7kVPH3QPFjIzw78genKYryhFhcNdRo2GSdozBvtGhwX5EZtuicNlIj7RfIh,LWpj4QaamKYTr1bORPGZYe9mK7Ii8bRlJgHb3irbc9m8nBZrEfxO9Z0OLEFu9UCRBLR4EtJAHZ,2023-11-21 07:33:35.871585,2021-01-07 13:17:21.657175
344527,2021-05-14,256225.40472782147,hsE,rKFxT0H504VXqjhdrUh315k1uSTTFi579fqCE3kQOGP8dVMUYkPiCNbkYHzfs8I3IgT9cYB6aHVL2hiLZ5rH8p4TUhD9fKlQ6kCnueSbyeGVr1evDlBxIlBQexpB7Dd4BkqbB9iUQEwsYfQyAmU4wDopUCP1PN3VxBjazXK1KBabeTiVAXJFDOhIoT7U6pHzDxwXxPZOlywU22dhSiJfb6VRetBgSbSdLIxYxKuxs80dEZHhtVwMEZr,na0Mt4XvLo8J2VQjuDVm7GorcZpgjDzHglQTeiozqCy5zcXfcDIusn0OyNWusjBzPWXvCTk5eEHnFeBuNG59JJ7CNDE8p3Dnnmftq253uAggX,2020-06-12 09:41:15.300501,2019-02-16 04:56:31.896243
138036,2021-10-02,241352.71338959623,8z9Fio4RDb,W5Rd9z5ZXuxBt1W8ngIMWXKJjwPgRKyy96eIRaHQGcibSifTkj1Ym9FacmirBCT9FHFgkwsjENu75oBqMiB8tkrxc03K5rXIuEEU3JZUB6pOwwHVzJjNvVS6FZnX,ty9d9OfgEZUal0UdlP5YCfilKQEIOmfZFOwzKi99Djyqg1qJqIptJxXjTvREcetE07G3OCegzrzYJe9NRT30VJZoTCPzlEFM20mfmpffv7aPciMMzHy8uqIxtHEzMuccqAGLf2hibvE6tayfoMAu7fMPJbQM9iNSgSUSVKgWhSpzVKeJ5T5FOqcB3bhIR,2019-07-20 19:40:19.716747,2019-03-07 00:10:50.222090
367545,2023-08-28,462374.6326161654,62dm8,QDME5R3ypRBoFgsiMaj5Tj3vwDMpeYWb93djTdP15UF8jsgLAr8ppxNhjqwmVzuDtGdklNF9jikfe1TjekSa5LOa9Q4ErXe4eYBVIdBbZKAbU8eXaT7pdAxpTJSqVRHAOAQUfWtWCV9xjAFskglVNqpllfvUvD5XiAq3hpS4TQv9WlTh94hSqAG9W59GFNycEdI1MnQ7PV,H9XM2CV8s5j3Mvxima,2023-01-30 01:13:24.815043,2019-04-21 05:52:37.265189
742639,2022-12-07,801598.9389904578,Jkf,D5A1DCQsgAfDxJFFxFdXwxULwQTVTe9wYgiXIucCeRTL9Vkxw5qRw7FR,wQGKQjXU0Lg4xDnwQGgxLefodQbcAPxnIJCLMYa1Uy3Tj29KNvN6EDzezW4c8cqrlS0S9AWUlE3bAtXopP6wHbasjxueArXT7rFOBFgxoZsuQauPNx0NVQXsjmGhz0mVMPahFL8jj8vl3O7RqZhMp3qC2uDAHqtrBwgKtVcxA8OnFaDTnQA4LOOUaCEOfXuFOi7rHeJZDjNJV6q2Zcuvq26QTXsYrWELPCE,2021-06-15 12:03:00.322066,2023-11-25 18:21:13.669208
107435,2021-09-10,984867.6942639323,vCxGI,jcwSB33vsoFiNdqLOQBc6Z8FGSGBebpT1jO773mpQoq5G6D2lm4DJS5jAhgMKtStkxhHCRbMwpudgjEUogCMxL8Ba6U0wXC5TxJP9AgKBHnfcpZiZRbmdZQ7lt9eXjHJOFl6USueI8fdADVBpWUmFbji2mh6327FLRZHWH8ETd5IDBNCaFfk9BAGdn4wZHs,tOk3UwcbMySAZbv62c2DgVr2tUjerblvfCb1sdDxR6azPNo8nNMVdaQ,2020-12-14 00:19:05.007620,2023-11-02 05:43:41.743286
782260,2021-03-25,857240.0360844696,1WOwrkWsu0,DfpBW631SrIlsjzElkhDzyzJOlkG62e2OiBRRJiSlQk0Dq9Pph5H5x76i4k79JZGCP9p47BrwyUY4luyNAtbtRPTnuDsCYEhxCQhwiY1VzQrLS6q1hCOF1eKd9tCgXAJztbicFXmIWTIc8K9CfHJc1TCOoPwpZPJWBD5D6eYiDqp9iR4l9p6Ek,GkZdff4OtysTvnbgRNrBOrHzStMYcgCTXSj0826iCWBrTJ6GyNr0Xq0shPWxkjEI0K7mp7NOdjfcoBLmB4sw0kqogtDTYtWrjJu27oUQFNLtq9t345E94M8seebOJRhjPyBaRYv,2019-02-17 20:05:11.027229,2021-01-02 08:10:36.609827
981398,2021-11-14,339875.3722392969,a,u3tCD0sIqzBAzWInrhUUE4vSkN1JkxqtnOXCaxxCcEO54ccNaS220MTxDowpnYWpAZekC06NHztq0Ij7gjP0qUHr98hhfihZiIqNHFOyK0cA2PG,Frd2MQSzfVUmnz1BB6m1CBX4zbPU4ChU3VRIs03uMJ96F3i1McdgieoWViuW7ZFZwKmPWG9IhLT6jCf3idaIFM5uzmFsZTLJDkRBC7MNT1AhtZBfUBNCJ,2023-03-15 21:56:01.085196,2021-01-09 07:36:53.051933
601019,2023-04-13,509971.00217344315,k,Pg4eIDm7ACO2Q2HIejwt4VmLmOn7SaKbMlSa1qlwbaejl3AXR4Qt8hJhY56lWxjwXlATlljqkT1OiQuATpZokRveYTXVZGZuO7sSPuzSzCwbaxl5HsRV5WVQFO5M29uuHwAE6fNVjRrC,T7SZpfFh8vmV0gZUSzysTaM0UWMNtiuReknDJ7bwp8X77VgfWtFJ1EW6XGPoTRT2lbFjsClyhBdMbHLfNZR7CQG2A3UrqWHzpbtAzKy9qvN3sWiekGXpw2EkF5PJAX4I2lbG5W6w9yNlTGi64C4LRS1sqQ25xCEHSjBlTKWmapwKwflR3ztJItsqnSGE2FpAtISGNss0AVowjYHE7M8cDMpk1cBE7q7qSPCbtEbPn4aq2BP,2022-07-17 22:21:32.066621,2022-12-14 05:13:02.252258
929372,2022-06-18,589706.6415015648,OsScqEpwq,1mvvQutdMi8i7EqYxCNuvcQmIrlmhOin4QWLrfql,FPN2oMlMbn5rf1TTPZV12Ruvg3XF6o4dLeVmM7xIKNl2a1P8D0YiZ8TmoGo3qicYy1B0RBCfomF8FYQf3FT8kTnMy6zsA6Ncz3MUuPrgHiMkjDyUjO4,2022-01-05 09:12:01.607916,2019-10-08 12:34:53.652436
71110,2019-06-26,332534.53109355416,GM,6ROQwBBlta6i8UTBnRIXG4xJniuPHMFe6vSzII4CVSnOMSfmfVPKJKrnj03n7Rej8eoIAgD5bWIsOZ4uWvRoN0sVGuRsQO1m79zoOVzEhJIpVwEOjg2smtHEF7bfEKeOVJcXxg1Zf1yeVRx8Qrp0RDCdoi3QbqEMlN0eK0xGz,KhUOp7fOKMqviEJWvZqe6W2z14FrthynpdvjQskx3puUbKJkmyjPUSuCtgAkX4ZLj8yksXNVR8HkmUnBvzbtfdeeNNWa8fWmQc040X4UEEZDBKKoivOlxuDkE4,2021-08-03 12:47:12.939969,2021-03-19 11:34:53.499553
172130,2021-10-01,460046.3569645353,Qf,OFtxjiWrWY8GasStBn5twgklgSxteG92r807BSXzNYRx9nNnRMqPyUdHZwBPlQPzhKQtsd3G1zMUXHJ9aYwHKNHbnv5WPueV44ArDz5X4AQ3U3VtsfeJSZuLvxapzAdRVwcCSQrY4M27xOKa5oxJkX240,2Gkv0sEU8Y4rO0IUIjliriPcpCYg5BGes,2019-09-06 07:04:05.423442,2023-11-08 10:44:49.618064
859070,2020-09-29,569041.3192875559,VS7mw1iR,s8UzfADyZdmbmmIlIWukygdyrfxJ7DGE3j5hKmIL3FIMFSNB4nV,kvkFKMndtISnJ266B2wiMpGpH3DweSm66oZriS1BmfXSurTg3DjFjALQNmRmkmP45DXYzgCKhzm7ElWkhwi0wuFJdIPlgh2b9JIVzqB9ZBGQpE65woQm7MpuRTIHEta5T2,2019-10-09 04:58:56.559310,2020-01-02 16:28:17.052966
912264,2020-09-09,750643.3320554579,TiLD3b,JnAHAaCcWuyvQMU9HdE0cCo2iLlIcwEOf7aDzabctTYJDAZpkstSgjIgNP7YQLNb1WveAT78fTfBKw4LvIAuoRxXK6PeMZVdZqV4Uf9LE85KVbqT760NW3qBTmeIou5jiB12c2muwg,Rct8ZkScet8aAPrfmEs6i91HD2yLZr1nQK4nSUJVTEBdG7mLt7W7ma7DKhMYmK1IoOZRvH2K5UcaDatspuczm7y8MSxvGptHrh1GX,2020-06-21 17:58:01.298752,2023-08-29 23:56:08.434293
952445,2020-02-23,727868.9292515867,8U5e,CxoEu8Xj1axA67vCa7gTqKmj31U5qIBU89eChDRtPL8hNN8OonQGXMrrJk,vxDIerqD37FfbuDNvebcZNAVwgfSVa99fopqBtRhiDaIoR5Gfc0uGuSf97zLbkvPkyZTBh6BRc9jvdybQbX25Dt0rifMszqgOqD64HFXGGopNuKOoQf9W9gYIHDyqDCFwWtQRmrr56UNPtHJCPaqWBTVFzxZag1x9sM8PR9PX9zOAWehlsHRkJ7zdoXOnVOFB9NgYRcIVgQgPpSn8NLOhKDj7EztMNtHHHPypv7,2022-01-20 19:02:53.471454,2021-04-04 23:01:14.980563
377959,2023-09-11,407576.10575011995,Cop7Icb,AkhC5Qg6c2oesozWgz6meovlffXODquXBzOt8VIKWtuMfORhL5fdHZhG1JFSBSwWLRp5WNOk3NGmSotYhsO0jVxX3kzfLITvMQjC4TgdkS4cLhNLxknJfvur0disGF1wAlvp9oWmBiSTBDf5Yf6MXgNzLgmBb9ja6LYXAXhAuBqRq6rZSlbC6XCXL4JTi9XMzrOlat05ANXmwPc16tdRjka8iNymPcP10YQfOp3FXD,k86XXb2idbT4p6KFgBIfnlIoPD84r7lfXRLtV6kdWkVSMqgMOZiap5g,2023-10-11 19:16:48.399236,2021-10-17 00:04:05.242961
193170,2022-04-10,784927.052884931,kmQWsgesO,G0ZnoBvEYkvCacUNCM8Y3AT37ag5MBJh56buuxashg34lTo3jtgFdOSy43B3DWFhNporu5LnpUuExFLyT7QPel1zb0FPTax83p14tl5IdqzGCw0wkY1S39wLTxHeiV4Nt0SCdMk7DOxjLcWo14ZkTzBGJCcqC7Qsaw3ZWXGkV,UQapWyy9yFD0b22il0YYLQQPkPRuodbyc5Pzhmdz96RWvpzx728xRl9UOcMWraT5mqGii0znEF0Z47gLfKjWxFnPPb4vWpkmG9hoU7fYY9IrhXLaHApYbvfYHb0ZsyDkTDEcDXxM9KUhiACGDb0s3Zm0wbJLJSbasKFvag,2021-10-15 16:49:54.972173,2022-12-04 23:32:06.664367
170469,2019-12-27,946196.2338921002,9Rvrck,Hy2hctFxPE88EnC88HjmDHmYjL0QxI1SNAjBBdiCwOXeaWu2GqnABoKDpBGQiC35qQqMxl35q5hSIpjF28iM9ZMGkjo11JBSb3kKF2v8dD3fhfdvcmWWq2bggbp3R57jxOPAl62,tC5HaLyFc8PkMWeoKYdE9GxiGvCkZeUK1KG9xwug8UxQeEpaRNgYmiQ3Zj4Z4vRtRbTCENHVDgUaC5E6tyBibxLurr6LifqNcH7Ijr4uN0IT2zrJPLoWUfu,2019-12-16 13:12:01.974426,2019-09-16 23:24:14.826776
68705,2021-04-28,528302.0662660886,v,ei1ArfnTF46xd8vBcatUElO8R4o2wf9nX6V3N0sGXF2qFeUQDDa0J16JB8u8VgwGaOtXWjvTjpzNB0ObtFA1FZucUITbsZZTkbDgpzC3NkpHAkuEFgWQyLp8vRrnBMjYA3xaCbvV7JDcW3K6mc6GUhFhFH7iMWm3U10qU22LSjpUzna6kqYLqx3Yr,rZtOXvgoGyNawRCPfSKFsBhdo6bA13ouo7ldVAJ1mwQKPIbM1CSXVcPcbkxTGefqfqiPwcPT7hy1gNjLNG92Aha5fuHl8o0VuwS7mO7Pfad2PiZDh3dPEfb6T1SIF99AvJKS,2023-09-07 18:23:15.151043,2019-12-06 07:06:07.200299
55670,2022-03-24,634100.3455083597,LV3ZO,cbrxAs6DFY4xi3O2diK1MhmB4wEOsoDgs3eRfDaQDf0Wwh1qAZN1Wb89jluCTkLicv5sCo2mjFWyAIUYUVHVbvyQ8ivDUfvnl6jbrfmEDbMnCXrkAKeQYgysb6aQtgBfvVBUx9YleGkjDt2u90rrrjYxI3CnWifPc5,6nWrRJoCQS5JzRvyz6e0nV2kWnFTXqoL0ACL8LLJ8IeBf5wtb7r8tFlEG91dNMlTBqNWCKdXSAnN1nWNsTUeT444LrsMMcblZ4YHXuE7a6TT0ROmhFhbMRlLRXNxqbwOMD1rGRtIIfBbsQMGX6Susl3zttplNm5yhfNwneVxaNd1W5tlPiObHawYM2CnF9hAyAowqQuxjbdyCINtt1oisT6hB4MbsHWtJos6bcf,2021-11-06 21:41:31.746701,2021-10-28 15:42:58.184096
237127,2020-03-06,809917.6033357584,4yIrOp8R5,Yyn9jGA63IJfyEwNEPmsHlk7kl1OT,Iihv004LWlQU9sINeEJwSLwQ9XTrwIn26S8bRrkjvgUSUA8ZMuSexAHOsPcIURRrWDPKfrFwS3pjECBalzggaXd4xQ7tXWoc5gBBBDs1AWbApifkjAMLypNCPmgn5JdNuFpjenMzHdByWCHvMrWt00AFLFGH4b1qiv5EGB1fFyvCbPitu6Fby3,2023-09-29 13:02:13.703353,2018-12-28 01:41:20.481131
